NTACode,NTACode,NTACode,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
BK76,BK76,BK76,22912,2702,1137,759,21775,2634,0,149,1157,735,921,657,477,421,2064,961,568,478,2098,865,1495,828,5400,1558,3184,1061,2710,993,1097,653,604,501,15995,1085,910,638,634,560,1315,699,862,626,1196,734,2127,896,2127,916,3122,992,1492,708,2210,858
BK77,BK77,BK77,32461,4360,2180,1263,30281,4043,171,399,2511,1508,1300,846,895,705,3679,1610,1502,994,1871,1068,1262,812,4444,1541,5411,1681,5015,1829,1713,982,507,491,19532,1070,1849,971,1407,881,2390,1069,1689,989,2342,1155,2875,1132,2134,959,2844,1112,1249,729,753,555
BK78,BK78,BK78,39696,6432,3787,2068,35909,6099,55,298,2180,1569,1454,1102,495,576,4273,2078,1812,1324,2238,1354,1784,1167,5506,2303,7667,2839,5344,2325,1963,1466,1138,937,26921,1815,3759,1829,2483,1408,2849,1554,2374,1490,2954,1583,3854,1777,2729,1470,3342,1544,1388,935,1189,829
BK79,BK79,BK79,15920,2407,989,660,14931,2307,10,130,703,572,582,508,304,373,1323,774,1545,865,585,534,716,530,1631,841,4545,1335,1220,751,831,602,936,630,13468,889,2204,876,862,550,1654,836,1382,744,2170,899,2000,871,1181,657,1140,659,532,400,343,296
BK81,BK81,BK81,20606,4783,3873,1825,16733,4315,8,190,605,618,390,449,307,421,1581,1135,1638,1096,183,301,736,714,1412,1235,6373,2315,1632,1152,1088,947,780,684,21343,1530,6269,1878,2650,1287,2919,1354,1963,1144,2563,1254,2460,1240,1091,761,1070,797,148,279,210,309
BK82,BK82,BK82,41435,7074,3690,2152,37745,6773,68,382,1956,1493,1200,1149,464,645,4182,2331,4558,2434,517,756,1916,1434,3648,2177,12566,3914,3032,1894,1748,1355,1890,1444,34142,2352,6122,2429,2583,1623,3969,2002,3738,1882,4727,2235,4597,2200,3420,1778,3178,1821,1055,941,753,772
BK83,BK83,BK83,22272,3530,1233,864,21039,3409,67,226,1725,1036,728,615,506,522,2493,1294,2650,1213,305,346,1075,717,2016,1038,5186,1730,2096,1206,1421,930,771,629,14784,1123,1931,980,725,621,1475,833,1450,864,1811,945,2810,1138,1684,892,1738,857,745,546,415,385
BK85,BK85,BK85,13293,2227,1541,776,11752,2185,45,155,539,465,268,295,175,234,1311,736,1300,682,141,224,449,417,1376,796,3787,1150,869,613,728,581,764,563,10468,758,2456,949,821,509,980,624,1130,658,1197,675,1640,774,839,566,905,590,372,312,128,171
BK88,BK88,BK88,36575,5824,1793,1296,34782,5598,56,374,2480,1926,1619,1196,2063,1394,4247,2206,1434,1143,589,674,2560,1463,3000,1658,11007,3249,3319,1803,1975,1517,433,551,25857,2341,1887,1264,2283,1393,4157,1926,3378,1695,3128,1629,3488,1764,2404,1466,2764,1460,1258,969,1110,824
BK90,BK90,BK90,22805,2803,1573,944,21232,2769,8,131,408,382,850,554,515,430,2244,972,768,555,2036,882,1424,751,4545,1503,4128,1261,3044,1192,781,551,481,414,16227,903,1548,787,1250,708,1621,802,1166,618,1244,694,2066,860,1814,792,2395,890,1338,627,1785,695
BK91,BK91,BK91,26826,3800,1589,1021,25237,3684,0,238,1347,939,465,522,359,444,2049,1124,2377,1146,470,501,1328,897,2143,1190,10578,2384,1487,1003,1499,961,1135,799,18474,1231,1339,845,680,593,1697,999,1823,985,2759,1173,3569,1370,2402,1142,2580,1144,922,693,703,590
BK93,BK93,BK93,5133,712,422,218,4711,708,0,34,115,131,131,175,11,61,481,260,422,259,0,34,323,201,538,352,1674,503,273,187,146,153,597,361,6629,215,781,319,1239,344,1200,408,658,303,998,392,1018,400,435,224,215,190,40,68,45,74
BK95,BK95,BK95,14477,2167,1032,639,13445,2010,0,94,671,444,248,237,254,285,1199,620,1165,569,118,183,766,516,1675,735,5000,1205,1046,596,621,393,682,450,10133,715,950,502,600,410,762,412,1246,588,1417,578,1710,640,1281,566,1295,617,466,322,406,325
BK96,BK96,BK96,28018,4144,2151,1199,25867,3997,0,214,1407,1021,344,412,202,351,2491,1340,2453,1272,428,473,1386,892,2415,1386,10010,2515,1577,955,1929,1272,1225,823,21004,1479,1852,1041,1228,860,2491,1230,2241,1178,2804,1290,3704,1450,2283,1124,2788,1322,863,651,750,644
BK99,BK99,BK99,363,227,35,147,328,221,5,127,4,125,5,127,22,145,15,132,21,148,20,145,8,120,104,180,33,130,32,145,26,148,33,147,205,163,0,132,0,132,23,147,14,142,9,130,5,127,19,145,57,154,37,148,41,144
BX01,BX01,BX01,13226,2309,2115,1012,11111,2153,0,111,461,456,395,386,232,274,1378,809,1072,609,201,296,465,466,914,571,3753,1184,1333,818,613,430,294,314,11131,478,2235,775,1805,727,1514,676,1528,742,1596,777,1285,629,529,389,475,430,130,192,34,113
BX03,BX03,BX03,18506,2730,1557,932,16949,2688,0,111,1043,747,427,458,344,422,1784,1069,997,572,303,401,971,647,1256,803,6148,1679,1269,777,1320,885,1087,786,12038,591,889,475,749,572,1136,687,1434,804,1434,795,2025,949,1404,707,1621,769,894,535,452,340
BX05,BX05,BX05,29269,4183,3514,1529,25755,3947,29,181,1602,1060,1160,1025,454,528,3171,1562,1465,976,295,352,1317,926,2281,1104,7482,2138,3793,1790,2107,1211,599,561,19447,931,2608,1156,1874,956,2550,1097,2232,1057,2602,1207,3680,1257,1998,1192,1270,785,280,370,353,385
BX06,BX06,BX06,12191,1905,1907,824,10284,1732,29,85,770,532,273,272,181,213,1268,641,656,438,188,216,552,373,759,448,2812,924,1875,858,724,375,197,230,9100,499,1615,538,1120,483,1456,580,1129,510,1371,570,1386,533,396,292,579,371,6,67,42,106
BX07,BX07,BX07,18614,2858,2363,1258,16251,2679,0,116,1209,793,844,663,99,188,2419,1122,1258,774,213,292,986,628,1053,670,4858,1523,1772,1121,953,742,587,450,14562,634,1957,861,1761,865,1799,850,1179,677,2229,948,2492,893,1291,648,1260,649,410,387,184,221
BX08,BX08,BX08,15884,2494,1611,892,14273,2329,4,95,1289,768,300,294,307,349,1474,797,1242,710,110,170,953,637,1262,690,3993,1192,1921,1072,1067,636,351,329,11998,661,1921,753,913,477,1825,820,1796,754,1694,829,1813,792,900,528,805,520,233,260,98,147
BX09,BX09,BX09,22594,3721,2181,1231,20413,3500,34,212,657,627,653,611,404,451,1845,1132,2262,1245,393,425,1232,923,1656,932,7864,2352,1526,1040,829,810,1058,854,19318,873,2380,1109,2004,1002,2293,1083,1994,1044,2290,1173,3440,1251,1942,1046,1848,1032,678,506,449,416
BX10,BX10,BX10,14066,2098,761,621,13305,1909,58,150,641,545,351,307,204,214,1328,778,664,517,356,343,1175,677,1262,615,4482,1176,1351,764,474,401,959,534,11258,671,496,370,717,434,936,506,943,565,1171,617,1655,639,1934,751,1709,730,1047,588,650,338
BX13,BX13,BX13,23143,2575,1990,916,21153,2549,0,56,817,602,127,206,207,243,1776,1117,1327,757,632,504,1457,772,2311,915,8789,1591,1239,756,951,702,1520,686,19687,489,1270,606,1362,623,1717,798,2325,901,2898,1005,3720,1043,2657,853,2527,859,947,507,264,311
BX14,BX14,BX14,29413,4209,3170,1638,26243,4187,38,231,861,846,793,782,369,537,2887,1594,2405,1332,353,511,1677,1177,2603,1536,8392,2371,3412,1759,1559,1100,894,854,22700,1229,3740,1650,2591,1293,3358,1479,2373,1224,3026,1408,3445,1495,2037,1100,1439,882,387,436,304,344
BX17,BX17,BX17,18560,3111,2939,1359,15621,2882,0,159,703,594,488,490,210,313,1939,1107,1518,900,194,266,753,579,1465,879,5109,1499,1995,1176,971,710,276,304,15289,837,3133,1166,2115,967,2666,1092,1712,872,1658,842,2157,929,880,622,678,522,188,305,102,214
BX22,BX22,BX22,13329,1769,916,666,12413,1664,42,137,366,299,316,277,116,162,690,461,304,282,361,282,1363,636,1735,661,5091,1183,979,596,377,297,673,452,10851,770,530,350,312,275,635,392,695,418,828,442,1431,699,1665,651,1988,666,1089,565,1678,556
BX26,BX26,BX26,17332,2659,1824,952,15508,2528,11,114,477,414,639,485,366,386,2352,1047,1247,780,156,249,701,515,1185,710,4579,1424,2585,1137,850,601,360,369,13498,623,2313,897,1525,749,2096,826,1929,850,1743,772,1938,874,918,580,801,513,127,187,108,186
BX27,BX27,BX27,10012,1862,1092,624,8920,1701,0,106,525,420,247,254,110,183,1191,672,595,407,98,168,695,461,987,561,2671,951,1159,644,496,400,146,199,8487,558,1932,676,955,482,1409,626,924,491,1310,587,878,442,493,362,393,314,87,150,106,140
BX28,BX28,BX28,26096,3532,2416,1171,23680,3322,14,149,858,735,645,561,503,444,2416,1306,1454,936,429,435,1667,987,2174,1178,7406,1804,3481,1646,1709,1064,924,689,18009,908,1926,903,1473,781,2604,1087,1571,828,2370,1036,3411,1266,1915,910,1751,839,578,501,410,401
BX29,BX29,BX29,16289,2172,1084,590,15205,2084,0,113,472,447,270,300,404,352,912,610,407,364,669,481,1697,829,2221,905,5173,1346,1561,850,723,551,696,504,13641,629,788,502,764,499,1278,648,803,509,1162,604,2261,863,1747,708,2241,807,1308,594,1289,504
BX30,BX30,BX30,15920,2232,1558,760,14362,2180,35,132,889,620,553,435,369,354,1791,912,1153,635,79,136,1032,642,1075,652,3868,1143,2406,1023,848,532,264,227,11203,452,1555,578,1140,557,1792,772,1126,581,1609,647,1754,701,1207,583,659,437,268,271,93,128
